Week,Town,Case_Count,BI,CI,HI,LI,AI,Con100HH,RT,AvgTemp,TempRange,AvgHumidity,SunshineHours,RainfallHours,Rainfall,Year,Month,Population density
2012-01-30,山上區,0.0,,,,,,,0.01,17.17142857142857,9.299999999999999,76.14285714285714,7.357142857142857,0.0,0.0,2012,1,278.1404691871727
2012-02-06,山上區,0.0,0.6666666666666666,2.222,0.6666666666666666,0.0,0.0,0.6666666666666666,0.01,16.67142857142857,7.414285714285714,82.57142857142857,3.6571428571428575,1.0714285714285714,2.0714285714285716,2012,2,278.0687280292704
2012-02-13,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,17.985714285714288,8.485714285714286,75.14285714285714,5.271428571428571,0.09999999999999999,0.0,2012,2,278.0687280292704
2012-02-20,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,19.457142857142856,7.571428571428571,82.71428571428571,2.442857142857143,1.1857142857142857,3.2142857142857144,2012,2,278.0687280292704
2012-02-27,山上區,0.0,,,,,,,0.01,18.7,10.114285714285714,80.71428571428571,5.128571428571428,0.5428571428571428,0.42857142857142855,2012,2,278.0687280292704
2012-03-05,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,20.071428571428573,8.471428571428572,76.0,5.942857142857143,0.028571428571428574,0.07142857142857142,2012,3,277.7458928187101
2012-03-12,山上區,0.0,,,,,,,0.01,21.02857142857143,8.471428571428572,80.42857142857143,6.485714285714286,0.5142857142857143,0.8571428571428571,2012,3,277.7458928187101
2012-03-19,山上區,0.0,0.5,1.19025,0.5,0.0,0.0,0.5,0.01,21.7,9.128571428571428,71.42857142857143,5.328571428571428,0.0,0.0,2012,3,277.7458928187101
2012-03-26,山上區,0.0,,,,,,,0.01,23.17142857142857,8.171428571428573,61.142857142857146,8.071428571428571,0.0,0.0,2012,3,277.7458928187101
2012-04-02,山上區,0.0,,,,,,,0.01,24.442857142857143,6.057142857142857,71.28571428571429,2.914285714285714,0.08571428571428572,0.0,2012,4,277.1719635554918
2012-04-09,山上區,0.0,,,,,,,0.01,27.142857142857142,7.414285714285714,72.28571428571429,8.714285714285714,0.0,0.0,2012,4,277.1719635554918
