Week,Town,Year,Month,Case_Count,Case_Lag1W,Case_Lag2W,Case_Lag3W,AvgTemp,TempRange,AvgHumidity,SunshineHours,RainfallHours,Rainfall,Temp_Lag2W,Temp_Lag4W,Temp_Lag6W,Temp_Lag8W,Rain_Lag2W,Rain_Lag4W,Rain_Lag6W,Rain_Lag8W,BI,CI,HI,LI,AI,PI,Con100HH,BI_Lag2W,CI_Lag2W,HI_Lag2W,LI_Lag2W,AI_Lag2W,PI_Lag2W,Con100HH_Lag2W,Population density,RT
2011-01-03,七股區,2011,1,0.0,0.0,0.0,0.0,16.014285714285712,7.428571428571429,72.42857142857143,14.0,0.7,2.0,18.885714285714283,19.485714285714288,21.614285714285717,22.099999999999998,0.0,0.0,0.0,32.5,5.333333333333333,0.0,0.0,0.0,0.0,6.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,6.0,0.0,224.44557019025106,0.01
2011-01-10,七股區,2011,1,0.0,0.0,0.0,0.0,14.12857142857143,6.1571428571428575,77.0,17.200000000000003,3.3,2.2,16.557142857142857,18.357142857142858,21.942857142857143,22.514285714285712,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,3.448,0.6666666666666666,0.0,0.0,6.0,2.0,224.44557019025106,0.01
2011-01-17,七股區,2011,1,0.0,0.0,0.0,0.0,16.214285714285715,7.414285714285714,76.14285714285714,28.4,3.5,2.5,16.014285714285712,18.885714285714283,19.485714285714288,21.614285714285717,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.333333333333333,0.0,0.0,0.0,0.0,6.0,5.333333333333333,224.44557019025106,0.01
2011-01-24,七股區,2011,1,0.0,0.0,0.0,0.0,15.62857142857143,7.1000000000000005,74.85714285714286,35.5,0.0,0.0,14.12857142857143,16.557142857142857,18.357142857142858,21.942857142857143,2.2,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.333333333333333,0.0,0.0,0.0,0.0,6.0,5.333333333333333,224.44557019025106,0.01
2011-01-31,七股區,2011,1,0.0,0.0,0.0,0.0,16.7,9.914285714285715,71.57142857142857,54.6,0.0,0.0,16.214285714285715,16.014285714285712,18.885714285714283,19.485714285714288,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.333333333333333,0.0,0.0,0.0,0.0,6.0,5.333333333333333,224.44557019025106,0.01
2011-02-07,七股區,2011,2,0.0,0.0,0.0,0.0,18.5,8.628571428571428,67.85714285714286,46.9,0.6,1.0,15.62857142857143,14.12857142857143,16.557142857142857,18.357142857142858,0.0,2.2,0.0,14.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.333333333333333,0.0,0.0,0.0,0.0,6.0,5.333333333333333,225.04929677201469,0.01
2011-02-14,七股區,2011,2,0.0,0.0,0.0,0.0,16.1,7.414285714285714,78.57142857142857,27.3,4.2,6.7,16.7,16.214285714285715,16.014285714285712,18.885714285714283,0.0,2.5,2.0,0.0,0.3333333333333333,2.3808333333333334,0.0,0.0,0.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,6.0,0.0,225.04929677201469,0.01
2011-02-21,七股區,2011,2,0.0,0.0,0.0,0.0,19.214285714285715,8.714285714285714,74.0,51.1,0.0,0.0,18.5,15.62857142857143,14.12857142857143,16.557142857142857,1.0,0.0,2.2,0.0,0.3333333333333333,2.3808333333333334,0.0,0.0,0.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,6.0,0.0,225.04929677201469,0.01
2011-02-28,七股區,2011,2,0.0,0.0,0.0,0.0,19.042857142857144,9.514285714285714,69.14285714285714,41.8,0.0,0.0,16.1,16.7,16.214285714285715,16.014285714285712,6.7,0.0,2.5,2.0,0.3333333333333333,2.3808333333333334,0.0,0.0,0.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,6.0,0.0,225.04929677201469,0.01
2011-03-07,七股區,2011,3,0.0,0.0,0.0,0.0,19.314285714285713,8.257142857142856,68.14285714285714,36.3,0.0,0.0,19.214285714285715,18.5,15.62857142857143,14.12857142857143,0.0,1.0,0.0,2.2,1.0,6.25,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,224.98574660551327,0.01
2011-03-14,七股區,2011,3,0.0,0.0,0.0,0.0,20.814285714285713,9.085714285714285,67.42857142857143,33.8,0.0,0.0,19.042857142857144,16.1,16.7,16.214285714285715,0.0,6.7,0.0,2.5,1.5,2.8845,0.5,0.0,0.0,6.0,1.5,0.3333333333333333,2.3808333333333334,0.0,0.0,0.0,6.0,0.3333333333333333,224.98574660551327,0.01
2011-03-21,七股區,2011,3,0.0,0.0,0.0,0.0,18.657142857142855,6.957142857142856,68.71428571428571,27.6,4.8,2.0,19.314285714285713,19.214285714285715,18.5,15.62857142857143,0.0,0.0,1.0,0.0,1.5,2.8845,0.5,0.0,0.0,6.0,1.5,0.3333333333333333,2.3808333333333334,0.0,0.0,0.0,6.0,0.3333333333333333,224.98574660551327,0.01
2011-03-28,七股區,2011,3,0.0,0.0,0.0,0.0,20.071428571428573,8.214285714285714,67.28571428571429,35.6,7.300000000000001,2.7,20.814285714285713,19.042857142857144,16.1,16.7,0.0,0.0,6.7,0.0,1.5,2.8845,0.5,0.0,0.0,6.0,1.5,0.3333333333333333,2.3808333333333334,0.0,0.0,0.0,6.0,0.3333333333333333,224.98574660551327,0.01
2011-04-04,七股區,2011,4,0.0,0.0,0.0,0.0,22.02857142857143,8.528571428571428,66.42857142857143,50.8,0.0,0.0,18.657142857142855,19.314285714285713,19.214285714285715,18.5,2.0,0.0,0.0,1.0,1.5,2.8845,0.5,0.0,0.0,6.0,1.5,0.3333333333333333,2.3808333333333334,0.0,0.0,0.0,6.0,0.3333333333333333,225.12192553373063,0.01
