﻿行政區域代碼,里別,日期,經度,緯度
67000350,海佃里,1210,120.1892373,23.0245267
67000340,大港里,1207,120.1827435,23.0104452
67000110,石城里,1118,120.3507571,23.1193553
67000190,小新里,1118,120.3187396,23.1271722
67000190,小新里,1023,120.3187396,23.1271722
67000320,裕聖里,1013,120.2469457,22.9802195
67000100,渡拔里,0929,120.3382861,23.1735158
67000320,自強里,0924,120.2332423,22.9824198
67000190,光文里,0830,120.3003035,23.1340393
67000340,正覺里,0827,120.2116023,23.0151428
67000340,成功里,0818,120.2094381,23.0202949
67000340,大興里,0818,120.1878641,23.0122966
67000310,北興里,0802,120.2712268,23.0129984
67000270,一甲里,0802,120.2613689,22.9771958
67000310,崑山里,0729,120.2541575,22.9988384
67000010,新東里,0718,120.324812,23.3152926
67000360,天妃里,0706,120.161994,23.000066
67000010,忠政里,0518,120.2656955,23.0286236
67000310,龍潭里,0423,120.2656955,23.0286236
67000010,忠政里,0402,120.314,23.315579
67000320,大學里,0226,120.2209801,22.9963981
67000010,王公里,0207,120.3190457,23.3165185
67000340,中樓里,0207,120.2159306,23.0034966
67000370,小西門里,0131,120.199521,22.984497
67000350,溪頂里,0127,120.2072739,23.0254471
67000310,正強里,0126,120.251994,23.0294884
67000330,光明里,0120,120.1870727,22.971944
67000350,佃東里,0118,120.1849082,23.0724268
67000270,太子里,0109,120.2584844,22.9912207
67000360,國平里,0109,120.1675902,22.9793723
67000320,小東里,0108,120.227472,22.9970514
67000370,五條港里,0108,120.1964522,22.9948212
67000370,光賢里,0108,120.1885158,23.0038665
67000350,大安里,0108,120.1950093,23.0313733
67000350,大安里,0108,120.1950093,23.0313733
67000280,後市里,0108,120.2902105,22.9684618
67000320,裕農里,0106,120.2289146,22.9886954
67000340,大興里,0105,120.2124298,23.0079508
67000370,西湖里,0102,120.1834651,23.0015666
67000330,明德里,0101,120.200781,22.9710918
67000320,大同里,0101,120.2130451,22.9839645
67000120,佳化里,0102,120.1964522,23.1881469
