﻿行政區域代碼,里別,日期,星期,集合時間,集合地點,緯度,經度,鎖匠,警員,刑警,噴工數,支援人力
67000350,塩田里,0105,(六),1330,塩田路,23.032,120.1409,2,2,2,7,0
67000200,社內里,0106,(日),1330,社內里,23.0679,120.2846,1,1,1,6,0
67000340,元寶里,0109,(三),0830,開元路,23.0104,120.2248,1,1,0,10,0
67000310,西橋里,0117,(四),1330,中山南路,23.0123,120.2273,1,1,1,3,0
67000150,後港里,0130,(三),0830,港西,23.1844,120.1449,1,1,0,3,0
67000330,明亮里,0131,(四),1330,簡易臨時公有停車場,22.9691,120.1936,2,1,1,10,0
67000320,大學里,0217,(日),1330,大學里,22.9963,120.2195,0,0,0,3,0
67000280,大潭里,0219,(二),1330,大潭里,22.9044,120.2744,0,0,0,6,0
67000280,大潭里,0220,(三),1330,大潭里,22.9098,120.2706,0,0,0,3,0
67000270,仁義里,0307,(四),1330,中正路三段,22.9736,120.2536,2,1,1,9,0
67000310,崑山里,0309,(六),1330,大灣路,22.9999,120.2567,3,3,3,12,0
67000350,淵東里,0321,(四),1330,仁安路,23.0512,120.1786,1,1,1,6,0
67000270,中洲里,0402,(二),0830,中洲里,22.9086,120.2553,1,1,0,5,0
67000020,汫水里,0508,(三),1300,汫水里,23.3404,120.2942,0,0,0,1,0
67000310,西灣里,0604,(二),0830,西灣里,23.0133,120.2639,2,1,1,7,0
67000310,埔園里,0605,(三),1330,埔園里,23.0336,120.2575,1,2,1,2,0
67000030,內角里,0605,(三),1330,內角里,23.3973,120.435,0,1,0,1,0
67000270,太子里,0605,(三),1700,太子里,22.9886,120.2572,0,0,0,1,0
67000270,一甲里,0605,(三),1800,一甲里,22.9782,120.2591,0,0,0,4,0
67000310,甲頂里,0630,(日),0830,甲頂里,23.022,120.2169,2,2,3,10,0
67000320,東門里,0630,(日),0830,東門里,22.9896,120.2144,2,2,2,7,0
67000340,合興里,0630,(日),1330,合興里,23.0091,120.2261,2,2,2,12,0
67000340,和順里,0630,(日),1330,和順里,23.0051,120.2029,2,2,2,8,0
67000370,郡王里,0703,(三),0830,郡王里,22.9856,120.2074,3,2,2,11,0
67000320,崇善里,0703,(三),0830,崇善里,22.9743,120.2301,3,3,4,16,0
67000370,開山里,0703,(三),1330,開山里,22.9885,120.2097,5,5,5,38,0
67000370,城隍里,0704,(四),0830,城隍里,22.9929,120.2086,8,6,6,35,0
67000320,大同里,0704,(四),1330,大同里,22.9837,120.2128,4,4,3,33,0
67000320,大同里,0705,(五),0830,大同里,22.9837,120.2128,5,5,5,25,0
67000320,大同里,0705,(五),1330,大同里,22.9837,120.2128,3,4,3,13,0
67000370,開山里,0706,(六),0830,開山里,22.9885,120.2097,8,4,4,25,0
67000370,開山里,0706,(六),1330,開山里,22.9885,120.2097,8,4,4,25,0
67000370,開山里,0707,(日),0830,開山里,22.9885,120.2097,8,4,4,25,0
67000370,開山里,0707,(日),1330,開山里,22.9885,120.2097,3,4,4,15,0
