﻿行政區域代碼,里別,日期,星期,集合時間,集合地點,緯度,經度,鎖匠,警員,刑警,噴工數,支援人力
67000320,文聖里,0121,三,0850,裕文路,22.9826487,120.241804,1,1,1,3,3
67000320,後甲,0522,五,1500,裕農路,22.9886146,120.2360187,0,0,0,4,0
67000340,六甲里,0524,日,0800,和緯路二段30巷,23.0120605,120.2103339,1,1,1,9,10
67000350,安富里,0526,二,0830,安寧街路口,23.0290379,120.1974869,1,1,1,2,0
67000340,正覺里,0613,六,0830,公園路,23.0068369,120.2100531,2,2,2,8,11
67000340,正覺里、六甲里,0616,二,1330,和緯路二段30巷,23.0120605,120.2103339,2,2,2,15,19
67000350,州北里,0619,五,1445,長和路二段12巷213弄,23.0678996,120.2214112,0,1,1,2,0
67000340,正覺里,0624,三,0830,公園路,23.0068369,120.2100531,2,2,2,6,5
67000320,大德里,0627,六,1400,立德十路1巷,22.9781706,120.2138896,1,1,1,2,0
67000340,正覺里,0701,三,1330,公園路769巷20弄,23.0186004,120.2145862,2,2,2,7,7
67000210,海寮里,0702,四,1430,安定里,23.1115672,120.2541575,1,1,,3,2
67000350,溪頂里,0703,五,0900,頂溪里惠安街151巷,23.0258445,120.2070491,1,1,1,8,9
67000350,溪頂里,0703,五,1400,頂溪里聖安街,23.0585336,120.1358346,1,1,1,4,3
67000350,溪頂里,0704,六,1330,郡安路四段278巷,23.0278731,120.2056136,1,1,1,9,10
67000340,六甲里,0705,日,1330,和緯路二段30巷,23.0120605,120.2103339,2,2,2,7,11
67000340,成德里,0705,日,1330,育賢街,23.0144262,120.2079916,2,2,2,6,3
67000350,溪頂里,0707,二,1330,北安路二段60巷,23.0272246,120.2056864,1,1,1,4,4
67000340,延平里,0708,三,1330,長榮路五段,23.0128505,120.2166802,4,4,4,19,26
67000350,溪頂里,0709,四,0830,惠安街161巷,23.0256391,120.2088685,1,1,1,6,5
67000350,溪頂里,0710,五,0830,賢安街,23.0263164,120.2060016,1,1,1,12,16
