﻿行政區域代碼,里別,日期,星期,集合時間,集合地點,緯度,經度,鎖匠,警員,刑警,噴工數,支援人力
安南區,海佃里,0323,三,0830,國安街56巷121弄,23.025649,120.1887139,1,1,1,20,38
永康區,南灣里,0323,三,1330,大灣一街,23.002052,120.2632483,1,1,0,13,31
中西區,保安里,0324,四,0830,中正路,22.9927805,120.1985826,0,0,0,1,0
東區,仁和里,0714,四,0845,利東街,22.9694671,120.2359505,0,0,0,6,0
永康區,永康里,0721,四,1330,中山北路,23.0268586,120.259297,2,1,1,9,23
新市區,社內里,0810,三,0900,社內,23.0765802,120.2801,1,1,1,6,0
安南區,州北里,0819,五,0830,安昌街103巷,23.0696959,120.2182196,1,1,1,13,21
中西區,法華里,0831,三,1330,五妃街,22.982596,120.2046065,1,1,1,3,0
永康區,五王里,0831,三,1400,中山東路218巷23弄,23.0100868,120.2373698,0,0,0,1,0
永康區,大灣里,0905,一,1330,民族路190巷,23.005722,120.2707569,1,1,1,9,2
東區,裕聖里,0918,日,1330,文華路三段,22.9680214,120.2426396,2,2,0,15,7
仁德區,仁德里,0918,日,1330,文華路三段,22.9680214,120.2426396,2,2,0,15,7
仁德區,保安里,0919,一,1330,保學一街,22.919095,120.2358864,2,2,2,10,24
永康區,五王里,1027,四,1330,成功路172巷,23.0108019,120.2345366,3,3,0,15,24
新市區,社內里,1125,五,0830,社內里,23.078196,120.27836,1,1,1,8,9
中西區,民生里,1203,六,1345,大仁街,22.9904398,120.1932606,2,0,2,14,17
東區,東光里,1207,三,1500,東光里東興路,22.9947691,120.2296018,0,0,1,5,10
